,0,1,2,3,4
0,(1+0j),(-6.348162032172009+0j),(-5.423957763605731+0j),(4.086760320407514+0j),(0.446493092798455+0j)
1,(5+0j),(-0.5844562288341797+0j),(-8.546816768899049+0j),(-4.688459448823606+0j),(0.969807703032643+0j)
2,(6+0j),(7.126748597823888+0j),(2.644577582804339+0j),(1.6031566352570723+0j),(11.241852130363947+0j)
3,(3+0j),(-5.888732705346482+0j),(-0.9108305750411921+0j),(-3.0269684845834393+0j),(-3.439364126156466+0j)
4,(8+0j),(9.642145404653757+0j),(-1.9308866514223688+0j),(0.667201480909855+0j),(-5.056756569476027+0j)
5,(1+0j),(-7.08206509571678+0j),(-2.353578150429437+0j),(2.384783926927032+0j),(1.6367127927766856+0j)
6,(5+0j),(1.9705239484508597+0j),(-10.683368899999847+0j),(-0.9487026533085614+0j),(-6.1094820896131745+0j)
7,(9+0j),(-2.60153908845057+0j),(-2.290030536289488+0j),(-6.28689010062582+0j),(3.1296224227630716+0j)
8,(5+0j),(-1.7283241859936205+0j),(-4.45763327864422+0j),(-2.559257483723653+0j),(-7.650913186452691+0j)
9,(1+0j),(-4.90281167946453+0j),(1.566533614209287+0j),(2.8981815811568445+0j),(0.18225594558006494+0j)
10,(3+0j),(4.3692692366808386+0j),(-2.5925185369229418+0j),(12.269509193060111+0j),(-2.7056335759458925+0j)
11,(5+0j),(3.4032435367632314+0j),(0.34827932507950365+0j),(-2.162107984793472+0j),(-7.00505735695571+0j)
12,(7+0j),(-7.309724445013106+0j),(1.266317221367003+0j),(-4.538630022645437+0j),(-0.5301548157073933+0j)
13,(5+0j),(-3.475560372164473+0j),(-2.15369338208051+0j),(-1.514426857020142+0j),(3.055238333950582+0j)
14,(4+0j),(-6.237320654279925+0j),(-2.8940752407096255+0j),(-0.5807973515309639+0j),(2.937360533911838+0j)
15,(9+0j),(-4.840598778936655+0j),(6.391619873201935+0j),(-4.478765475095788+0j),(-0.24271391665746403+0j)
16,(8+0j),(-0.6009161868177811+0j),(-7.8913099254651975+0j),(-5.824252384480089+0j),(-2.9432504296178763+0j)
17,(3+0j),(-0.5476782938486968+0j),(5.831063145986212+0j),(7.091458726568767+0j),(-9.079622146864875+0j)
18,(8+0j),(1.9658638453913326+0j),(-3.503683851993277+0j),(-0.6396782421184385+0j),(-4.256677522667055+0j)
19,(1+0j),(-7.317764812099416+0j),(-1.2457608403668432+0j),(1.5442580511547608+0j),(3.361965651904601+0j)
20,(1+0j),(-7.454155056939956+0j),(-2.1838006843823+0j),(2.510929792571882+0j),(2.0611731638855435+0j)
21,(3+0j),(0.2227769588218195+0j),(9.837366138152682+0j),(11.990698486737756+0j),(-10.424621715951368+0j)
22,(1+0j),(-8.21753272954634+0j),(-2.606507635335106+0j),(2.943564674855622+0j),(2.548048692052235+0j)
23,(6+0j),(0.07199256833905474+0j),(-3.20056648088775+0j),(2.3933639563147624+0j),(7.9177530295510525+0j)
24,(4+0j),(5.493356529097691+0j),(13.903438951980986+0j),(2.8087779048978856+0j),(3.873793096147505+0j)
25,(8+0j),(-3.212630773443301+0j),(-2.546405182610244+0j),(-0.6550324639505407+0j),(-5.063296527422871+0j)
26,(1+0j),(-7.953301775244523+0j),(-3.019548908741995+0j),(2.1745117665145397+0j),(1.084297817895042+0j)
27,(6+0j),(4.9848157579461265+0j),(4.9067435646156765+0j),(3.5429947989370856+0j),(6.925771174806079+0j)
28,(8+0j),(3.8169347601512955+0j),(-5.023400733444861+0j),(-6.250213920768297+0j),(4.748631560906286+0j)
29,(6+0j),(5.861899207466556+0j),(6.063170516915103+0j),(5.31560531561713+0j),(9.571755521307379+0j)
30,(6+0j),(-4.145869082414163+0j),(-5.112131148861425+0j),(1.649166134802983+0j),(2.3373028894671743+0j)
31,(9+0j),(-6.943294920695702+0j),(0.8249686699776195+0j),(-2.3089132832807455+0j),(1.0361794177126094+0j)
32,(6+0j),(-2.51517844078522+0j),(-2.1688385161467783+0j),(0.8859255608338245+0j),(4.174851507823563+0j)
33,(8+0j),(6.680327492871076+0j),(-9.431526136836515+0j),(-4.891917322518247+0j),(-0.3791932796212816+0j)
34,(3+0j),(-4.836751263585704+0j),(-5.543762112089293+0j),(2.0047170544492707+0j),(-1.4999701865078185+0j)
35,(2+0j),(4.998540092702736+0j),(-4.994479765341442+0j),(-0.04697358477698027+0j),(3.8915326901403944+0j)
36,(1+0j),(-5.417405999277771+0j),(0.9460084919079638+0j),(2.8502728014812275+0j),(0.16714527672136145+0j)
37,(6+0j),(-0.6635095601969061+0j),(2.749358842522209+0j),(2.6946547679788253+0j),(6.10128591596815+0j)
38,(8+0j),(2.976756409926518+0j),(5.577330488240793+0j),(-1.5371805235379135+0j),(-5.177366810667458+0j)
39,(4+0j),(1.1594262127786308+0j),(10.295784717660412+0j),(0.9796358698771247+0j),(2.1870527768381867+0j)
40,(9+0j),(-5.952301034888128+0j),(-2.5217838640280976+0j),(-2.505867455459037+0j),(1.8782626369945155+0j)
41,(9+0j),(-4.525164881583231+0j),(5.288377755594463+0j),(-7.713852833815169+0j),(-2.171130528379728+0j)
42,(5+0j),(-1.9518100153507423+0j),(-9.482180866673074+0j),(-7.119723461810039+0j),(-3.9336374660389426+0j)
43,(5+0j),(-0.4862308274784409+0j),(-4.19420527119077+0j),(-2.5384578942576677+0j),(1.9388894929463363+0j)
44,0j,(21.288591965250536+0j),(-1.7301219892134225+0j),(-8.118370941172255+0j),(-3.94477469496786+0j)
45,(1+0j),(-8.104734367692819+0j),(-2.7608106922704447+0j),(2.6938716225916854+0j),(2.251544732505578+0j)
46,(7+0j),(-4.083870762151591+0j),(7.522589893305069+0j),(-4.3451402183041115+0j),(0.25763699457027+0j)
47,(3+0j),(-0.19342851552980475+0j),(-3.5106563111457754+0j),(4.512058694570786+0j),(-12.507090363947903+0j)
48,(3+0j),(2.6451280680975837+0j),(-0.4601154029574403+0j),(6.991922749445796+0j),(-12.150638138891933+0j)
