num,train1,train2,train3,train4,train5,test1,test2,test3,test4,test5
1,0.3835625,0.39225,0.3745,0.379125,0.3636875,0.39525,0.394,0.38125,0.36925,0.36775,
2,0.377375,0.433875,0.418375,0.4214375,0.366375,0.37925,0.42875,0.42625,0.4215,0.36825,
3,0.3921875,0.4324375,0.3748125,0.427625,0.3784375,0.39625,0.42475,0.37775,0.42875,0.37925,
4,0.4090625,0.4561875,0.3914375,0.4390625,0.408875,0.408,0.45375,0.3945,0.438,0.40725,
5,0.408375,0.4530625,0.407,0.4876875,0.4319375,0.40575,0.45375,0.412,0.494,0.423,
6,0.43175,0.4905,0.4400625,0.4905625,0.4500625,0.434,0.49025,0.44275,0.494,0.44575,
7,0.4765,0.47425,0.4749375,0.50925,0.453875,0.47525,0.4705,0.4745,0.51375,0.4525,
8,0.4860625,0.47625,0.4871875,0.516,0.45825,0.48475,0.4735,0.48725,0.52225,0.454,
9,0.5069375,0.4865,0.4713125,0.5104375,0.46575,0.51475,0.481,0.47375,0.51625,0.46575,
10,0.503875,0.48225,0.477875,0.519875,0.47175,0.51075,0.476,0.48425,0.53175,0.46875,
11,0.5075,0.492625,0.5043125,0.539875,0.4989375,0.518,0.481,0.5105,0.547,0.49325,
12,0.5068125,0.502625,0.5205,0.527625,0.5308125,0.5185,0.49525,0.526,0.53025,0.52175,
13,0.500875,0.5026875,0.515375,0.5300625,0.531375,0.513,0.49725,0.52325,0.53825,0.5215,
14,0.508875,0.5114375,0.513375,0.5374375,0.53275,0.52075,0.50775,0.52225,0.54425,0.52375,
15,0.53175,0.4960625,0.52475,0.56975,0.5194375,0.53875,0.487,0.53775,0.5745,0.508,
16,0.5430625,0.5026875,0.5159375,0.5748125,0.53975,0.54725,0.499,0.52575,0.58275,0.52775,
17,0.5506875,0.496625,0.52875,0.5873125,0.5528125,0.55625,0.4915,0.53625,0.592,0.53825,
18,0.5575625,0.4965,0.5289375,0.5994375,0.551,0.559,0.49375,0.53875,0.6055,0.5405,
19,0.5606875,0.5053125,0.534375,0.586375,0.5528125,0.56275,0.504,0.54075,0.5875,0.5455,
20,0.55375,0.516375,0.533625,0.5955625,0.541125,0.55375,0.51275,0.54075,0.603,0.52875,
21,0.5505625,0.53,0.5295625,0.5956875,0.52425,0.55,0.527,0.535,0.60775,0.51225,
22,0.54825,0.5329375,0.5273125,0.589625,0.5239375,0.548,0.531,0.53225,0.604,0.51275,
23,0.556875,0.5389375,0.5385,0.5876875,0.5360625,0.5545,0.5365,0.5485,0.59875,0.5255,
24,0.56175,0.52825,0.544625,0.5946875,0.542125,0.559,0.5285,0.55075,0.605,0.5325,
25,0.5649375,0.534625,0.5545625,0.6040625,0.54575,0.5645,0.52975,0.558,0.61375,0.53175,
26,0.5696875,0.5326875,0.5548125,0.595,0.5459375,0.56525,0.525,0.5635,0.601,0.53575,
27,0.5784375,0.5375,0.5518125,0.599375,0.5494375,0.5755,0.53,0.56075,0.605,0.53975,
28,0.5796875,0.5363125,0.546375,0.601,0.5525,0.579,0.527,0.553,0.6095,0.545,
29,0.5853125,0.5455625,0.5521875,0.6035,0.5440625,0.58225,0.53725,0.55625,0.6125,0.533,
30,0.574,0.5348125,0.555,0.6046875,0.54825,0.567,0.532,0.56025,0.6145,0.5375,
31,0.5721875,0.539375,0.56075,0.6079375,0.5370625,0.5625,0.5365,0.565,0.6185,0.52725,
32,0.5685625,0.5375,0.56725,0.60225,0.54275,0.5635,0.536,0.57275,0.61225,0.53575,
33,0.5743125,0.5494375,0.56325,0.59525,0.5544375,0.56825,0.5455,0.5655,0.60425,0.548,
34,0.5804375,0.553625,0.5658125,0.592125,0.565625,0.5745,0.55125,0.5695,0.60475,0.55525,
35,0.580125,0.546375,0.56375,0.59575,0.5645625,0.576,0.5425,0.56675,0.6045,0.5555,
36,0.5808125,0.5475625,0.5660625,0.5951875,0.571625,0.57475,0.543,0.56825,0.602,0.5585,
37,0.59,0.5426875,0.5679375,0.6033125,0.5635,0.583,0.5405,0.569,0.61275,0.55225,
38,0.58525,0.5463125,0.5619375,0.615,0.5616875,0.57775,0.54275,0.5645,0.62625,0.553,
39,0.5884375,0.5583125,0.5661875,0.6099375,0.56375,0.58175,0.55475,0.569,0.6225,0.556,
40,0.5893125,0.5671875,0.56675,0.611625,0.5708125,0.5865,0.56675,0.5685,0.62425,0.56125,
41,0.588625,0.5718125,0.5678125,0.616,0.573625,0.58275,0.5705,0.571,0.6255,0.564,
42,0.579625,0.5748125,0.57175,0.6045625,0.5744375,0.57075,0.57425,0.57675,0.61225,0.5655,
43,0.5820625,0.573625,0.5730625,0.6134375,0.5755625,0.57575,0.5745,0.5775,0.62175,0.56925,
44,0.5731875,0.5739375,0.575625,0.6098125,0.5720625,0.5705,0.575,0.57925,0.619,0.56375,
45,0.5756875,0.5719375,0.5770625,0.620875,0.57475,0.573,0.57525,0.5815,0.626,0.56625,
46,0.5698125,0.57325,0.5801875,0.6265,0.576375,0.5675,0.5735,0.58625,0.63025,0.5695,
47,0.570125,0.57575,0.582125,0.6309375,0.5779375,0.56775,0.576,0.5885,0.6315,0.57125,
48,0.5725625,0.575875,0.578625,0.625,0.5776875,0.57175,0.5775,0.5835,0.6295,0.57175,
49,0.5781875,0.575625,0.5775625,0.630375,0.5775,0.5805,0.57325,0.58625,0.633,0.56825,
50,0.58075,0.5658125,0.57975,0.6330625,0.5771875,0.58225,0.565,0.5885,0.635,0.57175,
51,0.581,0.569875,0.579875,0.6294375,0.577875,0.5845,0.56825,0.58975,0.6335,0.5705,
